hour_of_day,day,row,col,demand
18,0,0,0,0
18,0,0,1,0
18,0,0,2,5
18,0,0,7,33
18,0,1,3,19
18,0,1,4,14
18,0,1,5,8
18,0,2,2,3
18,0,2,3,17
18,0,2,4,14
18,0,2,5,11
18,0,3,0,0
18,0,3,1,5
18,0,3,2,0
18,0,3,3,8
18,0,3,5,19
18,0,4,0,0
18,0,4,1,8
18,0,4,4,27
18,0,4,6,0
18,0,5,0,0
18,0,5,1,0
18,0,5,2,0
18,0,5,3,3
18,0,5,4,11
18,0,5,5,3
18,0,5,6,3
18,0,5,7,3
18,0,6,0,0
18,0,6,1,0
18,0,6,2,0
18,0,6,4,0
18,0,6,5,14
18,0,6,6,11
18,0,7,2,0
18,0,7,3,0
18,0,7,4,0
18,0,7,5,0
18,0,7,6,5
19,0,0,0,0
19,0,0,1,0
19,0,0,3,5
19,0,0,4,3
19,0,0,5,3
19,0,0,6,8
19,0,1,0,0
19,0,1,1,0
19,0,1,2,0
19,0,1,3,3
19,0,1,4,3
19,0,1,6,8
19,0,1,7,3
19,0,2,1,0
19,0,2,3,0
19,0,2,4,8
19,0,2,6,5
19,0,3,1,0
19,0,3,4,0
19,0,3,6,3
19,0,4,0,0
19,0,4,1,0
19,0,4,2,5
19,0,4,3,51
19,0,4,4,0
19,0,4,6,0
19,0,5,0,0
19,0,5,1,0
19,0,5,2,0
19,0,5,3,0
19,0,5,4,8
19,0,5,5,3
19,0,6,2,0
19,0,6,7,0
19,0,7,0,0
19,0,7,1,0
19,0,7,2,0
20,0,0,0,0
20,0,0,2,0
20,0,0,3,3
20,0,0,4,0
20,0,0,6,3
20,0,1,0,0
20,0,1,1,0
20,0,1,3,3
20,0,1,4,3
20,0,1,5,33
20,0,1,6,0
20,0,2,0,0
20,0,2,2,3
20,0,2,3,0
20,0,2,5,3
20,0,2,6,3
20,0,2,7,0
20,0,3,1,0
20,0,3,2,0
20,0,3,3,0
20,0,3,4,0
20,0,3,5,5
20,0,3,7,5
20,0,4,0,0
20,0,4,2,0
20,0,4,4,0
20,0,4,5,0
20,0,4,7,0
20,0,5,0,0
20,0,5,1,0
20,0,5,3,0
20,0,5,4,0
20,0,5,5,0
20,0,5,6,0
20,0,6,1,0
20,0,6,2,0
20,0,6,4,0
20,0,6,6,0
20,0,7,2,0
20,0,7,3,0
20,0,7,4,0
21,0,0,2,0
21,0,0,7,3
21,0,1,1,0
21,0,1,2,5
21,0,1,6,0
21,0,2,0,0
21,0,2,1,0
21,0,2,2,5
21,0,2,4,0
21,0,2,6,3
21,0,3,0,0
21,0,3,1,8
21,0,3,2,0
21,0,3,4,0
21,0,3,5,8
21,0,3,6,3
21,0,3,7,5
21,0,4,2,0
21,0,4,3,3
21,0,4,6,0
21,0,4,7,0
21,0,5,0,0
21,0,5,1,0
21,0,5,2,0
21,0,5,3,0
21,0,5,4,0
21,0,5,7,0
21,0,6,3,0
21,0,6,6,8
21,0,7,3,0
21,0,7,4,0
21,0,7,5,0
21,0,7,6,5
21,0,7,7,0
22,0,0,1,0
22,0,0,3,5
22,0,0,4,3
22,0,0,5,3
22,0,0,6,0
22,0,0,7,0
22,0,1,1,0
22,0,1,2,3
22,0,1,4,0
22,0,1,6,14
22,0,1,7,0
22,0,2,0,0
22,0,2,1,0
22,0,2,3,0
22,0,2,4,3
22,0,2,7,3
22,0,3,1,0
22,0,3,2,0
22,0,3,4,0
22,0,3,5,0
22,0,3,6,0
22,0,4,2,0
22,0,4,4,0
22,0,4,5,0
22,0,4,7,0
22,0,5,2,0
22,0,5,3,0
22,0,5,6,0
22,0,5,7,0
22,0,6,0,0
22,0,6,5,5
22,0,6,6,0
22,0,6,7,0
22,0,7,0,0
22,0,7,7,0
23,0,0,1,0
23,0,0,2,0
23,0,0,3,3
23,0,0,4,0
23,0,0,5,0
23,0,1,2,0
23,0,2,0,0
23,0,2,1,0
23,0,2,2,0
23,0,2,4,0
23,0,2,5,0
23,0,3,0,0
23,0,3,1,0
23,0,3,2,0
23,0,3,4,0
23,0,3,7,0
23,0,4,0,0
23,0,4,2,0
23,0,4,3,0
23,0,4,5,0
23,0,4,7,0
23,0,5,0,0
23,0,5,1,0
23,0,5,4,0
23,0,5,6,0
23,0,5,7,0
23,0,6,3,0
23,0,6,4,0
23,0,6,5,0
23,0,6,7,0
23,0,7,1,0
23,0,7,2,0
23,0,7,4,0
23,0,7,7,0
0,1,0,1,0
0,1,0,2,0
0,1,0,3,0
0,1,0,4,0
0,1,0,5,0
0,1,0,6,0
0,1,0,7,0
0,1,1,0,0
0,1,1,1,0
0,1,1,5,0
0,1,1,6,0
0,1,2,2,0
0,1,2,5,0
0,1,2,6,0
0,1,3,0,0
0,1,3,4,0
0,1,4,1,0
0,1,4,2,0
0,1,4,3,0
0,1,4,4,0
0,1,4,7,0
0,1,5,6,0
0,1,5,7,0
0,1,6,0,0
0,1,6,1,0
0,1,6,2,0
0,1,6,4,0
0,1,6,7,0
0,1,7,0,0
0,1,7,1,0
0,1,7,7,0
1,1,0,0,3
1,1,0,1,0
1,1,0,2,3
1,1,0,3,11
1,1,0,4,3
1,1,0,5,3
1,1,0,6,0
1,1,0,7,0
1,1,1,1,0
1,1,1,2,3
1,1,1,3,0
1,1,1,4,0
1,1,1,5,0
1,1,2,0,0
1,1,2,3,3
1,1,2,6,0
1,1,2,7,0
1,1,3,1,0
1,1,3,2,3
1,1,3,5,5
1,1,3,6,14
1,1,4,0,0
1,1,4,1,0
1,1,4,4,0
1,1,4,5,3
1,1,4,6,0
1,1,4,7,0
1,1,5,2,0
1,1,5,3,0
1,1,5,5,0
1,1,5,6,17
1,1,6,0,0
1,1,6,4,0
1,1,6,5,41
1,1,6,6,24
1,1,7,0,0
1,1,7,2,0
1,1,7,4,0
1,1,7,5,0
1,1,7,6,22
2,1,0,0,30
2,1,0,1,3
2,1,0,2,14
2,1,0,5,24
2,1,0,7,38
2,1,1,0,5
2,1,1,6,24
2,1,1,7,27
2,1,2,0,5
2,1,2,1,0
2,1,2,2,22
2,1,2,3,22
2,1,2,6,33
2,1,2,7,22
2,1,3,0,0
2,1,3,3,24
2,1,3,4,5
2,1,3,6,14
2,1,4,0,0
2,1,4,1,0
2,1,5,1,22
2,1,5,2,0
2,1,5,3,3
2,1,5,5,24
2,1,5,7,11
2,1,6,0,0
2,1,6,1,0
2,1,6,5,22
2,1,6,6,0
2,1,7,0,0
2,1,7,1,0
2,1,7,3,0
2,1,7,5,3
2,1,7,7,0
3,1,0,0,5
3,1,0,1,8
3,1,0,2,79
3,1,0,3,543
3,1,0,4,570
3,1,0,6,114
3,1,0,7,169
3,1,1,1,0
3,1,1,2,218
3,1,1,7,331
3,1,2,1,0
3,1,2,3,237
3,1,2,4,347
3,1,2,6,172
3,1,2,7,259
3,1,3,0,0
3,1,3,1,33
3,1,3,2,169
