time,row,col,demand
169,7,5,4
203,3,3,25
323,0,7,0
298,5,6,0
378,6,5,50
139,5,0,0
209,6,4,8
105,0,6,0
681,3,4,12
11,3,7,55
400,1,5,190
454,4,3,45
141,7,4,13
172,7,7,4
429,1,5,87
622,0,5,28
662,5,3,0
264,1,3,163
538,2,0,0
377,7,1,0
206,1,2,33
195,6,3,0
596,0,3,122
512,1,6,0
496,5,5,50
162,7,2,0
573,6,2,10
669,1,1,0
362,7,2,0
10,3,5,254
100,2,1,0
567,6,4,10
715,1,7,324
383,1,7,148
68,2,7,274
583,6,1,0
183,7,3,0
32,7,1,0
552,7,6,26
113,5,6,46
67,2,2,51
318,1,0,0
363,7,7,7
90,7,1,0
252,0,4,5
541,5,4,15
209,5,3,8
554,7,0,0
313,6,6,20
307,0,2,43
575,6,6,42
165,2,7,227
656,0,3,12
188,6,4,0
394,0,4,7
468,0,5,8
354,0,6,141
643,6,6,0
556,4,6,52
653,7,3,0
44,6,3,3
461,3,4,27
223,4,2,0
626,1,7,116
104,4,1,0
38,3,5,143
456,0,3,69
533,5,0,0
658,5,6,12
723,4,1,82
463,4,2,0
446,4,0,0
436,2,5,40
366,7,4,0
526,3,2,38
339,5,3,10
703,5,0,0
349,4,7,125
499,7,1,0
200,5,4,5
662,3,5,223
539,5,1,9
117,6,2,4
250,2,4,14
524,5,5,123
29,6,4,0
11,7,3,17
388,0,6,101
685,7,5,0
513,0,0,0
176,5,7,0
316,7,3,0
544,2,2,31
147,7,4,0
634,3,2,0
115,6,5,29
672,5,3,0
508,5,2,29
430,4,7,118
110,3,6,20
335,3,7,42
627,5,4,30
694,4,6,107
49,7,3,0
562,5,7,16
510,5,0,0
260,6,4,22
505,3,3,29
467,0,5,8
169,5,3,7
195,3,5,16
125,0,6,0
426,1,4,39
354,4,3,27
417,2,1,0
407,0,5,917
420,5,4,19
140,3,4,66
241,3,5,39
446,0,1,13
567,7,4,0
170,3,1,0
730,2,1,23
1,0,6,8
114,2,4,43
331,7,5,0
199,3,7,8
439,6,7,0
465,1,1,0
358,2,5,443
185,0,2,27
514,4,6,9
161,2,4,106
579,6,7,17
167,4,5,190
66,1,3,207
28,7,0,0
550,2,2,65
34,2,0,0
658,6,1,0
562,1,6,0
326,2,0,0
255,7,4,5
71,5,2,12
598,3,6,247
730,7,5,45
